source_code,sku,status,quantity
luma_us,24-MB01,1,34
luma_eu_uk,24-MB01,1,33
luma_apac,24-MB01,1,33
luma_us,24-MB04,1,34
luma_eu_uk,24-MB04,1,33
luma_apac,24-MB04,1,33
luma_us,24-MB03,1,34
luma_eu_uk,24-MB03,1,33
luma_apac,24-MB03,1,33
luma_us,24-MB05,1,34
luma_eu_uk,24-MB05,1,33
luma_apac,24-MB05,1,33
luma_us,24-MB01,1,100
luma_us,24-MB04,1,100
luma_us,24-MB03,1,100
luma_us,24-MB05,1,100
luma_us,24-MB06,1,100
luma_us,24-MB02,1,100
luma_us,24-UB02,1,100
luma_us,24-WB01,1,100
luma_us,24-WB02,1,100
luma_us,24-WB05,1,100
luma_us,24-WB06,1,100
luma_us,24-WB03,1,100
luma_us,24-WB07,1,100
luma_us,24-WB04,1,100
luma_us,24-UG06,1,100
luma_us,24-UG07,1,100
luma_us,24-UG04,1,100
luma_us,24-UG02,1,100
luma_us,24-UG05,1,100
luma_us,24-UG01,1,100
luma_us,24-WG084,1,100
luma_us,24-WG088,1,100
luma_us,24-UG03,1,100
luma_us,24-WG081-gray,1,100
luma_us,24-WG081-pink,1,100
luma_us,24-WG081-blue,1,100
luma_us,24-WG082-gray,1,100
luma_us,24-WG082-pink,1,100
luma_us,24-WG082-blue,1,100
luma_us,24-WG083-gray,1,100
luma_us,24-WG083-pink,1,100
luma_us,24-WG083-blue,1,100
luma_us,24-WG085,1,100
luma_us,24-WG086,1,100
luma_us,24-WG087,1,100
luma_us,24-MG04,1,100
luma_us,24-MG01,1,100
luma_us,24-MG03,1,100
luma_us,24-MG05,1,100
luma_us,24-MG02,1,100
luma_us,24-WG09,1,100
luma_us,24-WG01,1,100
luma_us,24-WG03,1,100
luma_us,24-WG02,1,100
luma_us,243-MB04,1,100
luma_us,MH01-XS-Black,1,100
luma_us,MH01-XS-Gray,1,100
luma_us,MH01-XS-Orange,1,100
luma_us,MH01-S-Black,1,100
luma_us,MH01-S-Gray,1,100
